# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2015-09-11 16:17:33.621514
1.665098973972863883e+00,1.780548188791345687e+00,2.546297112885664404e+00,-6.429102651723248574e-01
4.984509122205387222e-01,1.664583400219062925e+00,1.322815750304500160e+00,3.141793001800275764e+00
1.825016458000768171e+00,2.943323671478416337e+00,1.346288346794859647e+00,-1.120005194699129625e-01
9.015690608124233840e-01,1.552095385296072383e+00,1.780070279133803446e+00,6.449434666482916079e-01
1.198999375071120754e+00,-6.676633948395593876e-02,1.795915389736935097e-02,1.957378209307345962e+00
2.738053754383887650e+00,1.359264305035472908e+00,1.669584905850976408e+00,1.501779374967227021e-02
-7.915295882753081713e-02,2.139009405557900756e+00,9.116575382381238990e-01,1.781950623619546814e+00
2.857516905078046676e+00,1.022584689840761119e+00,2.063242018849027026e+00,5.895449566899362281e-01
5.102639182008250618e-01,1.119710057868137598e+00,1.271323327264437753e+00,6.795248627587426871e-01
1.321005830158487715e+00,-6.144663322761230173e-01,-2.836818674870500434e-01,1.491422009107257862e+00
