SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BF1960AK,2008,12,0000,0,0684,0,100,71,2.7,0,0,0,0,15,0,0,0,0,0,0,0,144,179,1,102,10,5,1,1295,10200
BF1960AK,2008,12,0684,0,0684,0.6,66,66,3.9,0,0,0,18,15,1,0,0,2,0,0,0,73,98,2,102,10,5,1,1295,10200
BF1960AK,2008,12,0684,0.6,0684,1.1,61,61,3.9,0,0,0,26,15,1,0,0,0,0,0,0,76,98,3,102,10,5,1,1295,10200
BF1960AK,2008,12,0684,1.1,0684,1.6,62,62,3.5,0,0,0,24,15,1,0,0,0,0,0,0,99,113,4,102,10,5,1,1815,17100
BF1960AK,2008,12,0684,1.6,0686,0,64,64,4,0,0,0,20,25,0,0,0,0,0,0,0,68,102,5,102,10,5,1,1815,17100
BF1960AK,2008,12,0686,0,0686,0.5,56,55,3.2,0,0,0,36,51,0,0,0,2,1,0,0,104,150,6,102,10,5,1,1815,17100
BF1960AK,2008,12,0686,0.5,0686,1,64,34,2.4,0,0,0,20,0,0,0,0,0,0,0,0,191,194,7,102,10,5,1,1815,17100
BF1960AK,2008,12,0686,1,0686,1.5,79,38,2.3,3,0,0,3,110,0,0,0,1,0,0,0,247,189,8,102,10,5,1,2071,14200
BF1960AK,2008,12,0686,1.5,0688,0,57,57,3.5,0,0,0,33,6,3,0,0,0,0,0,0,99,126,9,102,10,5,1,1435,12300
BF1960AK,2008,12,0688,0,0688,0.3,68,67,3.2,0,0,0,14,55,2,0,0,0,0,0,0,117,143,10,102,10,5,1,1745,10500
BS0035CK,2008,12,0000,0,0492,0,93,44,2.3,0,0,0,0,48,4,0,0,1,0,0,0,183,199,11,20,2,5,1,982,7300
BS0035CK,2008,12,0492,0,0492,0.5,82,82,3.9,0,0,0,0,99,4,0,0,0,0,0,0,81,91,12,20,2,5,1,982,7300
BS0035CK,2008,12,0492,0.5,0492,1,90,90,3.8,0,0,0,0,66,4,0,0,0,0,0,0,89,96,13,20,2,5,1,982,7300
BS0035CK,2008,12,0492,1,0492,1.5,82,82,3.6,0,0,0,6,15,4,0,0,0,0,0,0,96,113,14,20,2,5,1,1485,14700
BS0035CK,2008,12,0492,1.5,0494,0,81,73,3,0,0,0,6,33,4,0,0,3,0,0,0,159,144,15,20,2,5,1,1505,14900
BS0035CK,2008,12,0494,0,0494,0.5,58,17,1.9,0,0,0,33,0,0,0,0,0,0,0,0,210,250,16,20,2,5,1,1505,14900
