SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BF1960AK,2009,12,0000,0,0684,0,41,26,2.6,48,0,32,0,0,0,0,0,0,0,0,0,171,166,1,102,10,5,1,1421,11600
BF1960AK,2009,12,0684,0,0684,0.6,52,52,3.6,0,0,21,10,29,3,0,0,3,0,0,0,86,127,2,102,10,5,1,1421,11600
BF1960AK,2009,12,0684,0.6,0684,1.1,46,46,3.7,0,0,12,29,6,3,0,0,1,0,0,0,92,112,3,102,10,5,1,1421,11600
BF1960AK,2009,12,0684,1.1,0684,1.6,40,40,3.6,0,0,18,39,0,2,0,0,3,0,0,0,87,120,4,102,10,5,1,2022,19700
BF1960AK,2009,12,0684,1.6,0686,0,38,38,3.5,0,0,28,36,0,2,0,0,2,0,0,0,88,133,5,102,10,5,1,2022,19700
BF1960AK,2009,12,0686,0,0686,0.5,46,39,2.9,0,0,12,30,12,2,0,0,2,2,0,0,119,179,6,102,10,5,1,2022,19700
BF1960AK,2009,12,0686,0.5,0686,1,40,17,2.2,28,0,0,26,22,4,0,0,0,0,0,0,213,209,7,102,10,5,1,2022,19700
BF1960AK,2009,12,0686,1,0686,1.5,54,32,2.5,2,0,2,16,105,4,0,0,1,0,0,0,193,161,8,102,10,5,1,1678,15000
BF1960AK,2009,12,0686,1.5,0688,0,59,58,3.2,0,0,0,32,11,2,0,0,0,0,0,0,107,151,9,102,10,5,1,1512,12900
BF1960AK,2009,12,0688,0,0688,0.3,61,61,3.3,2,0,0,24,36,2,0,0,0,0,0,0,113,127,10,102,10,5,1,1440,11500
